	100280	S	12	5	9	18	13	47	12.74	12.92	0.54				659	769	940	595	1007	745	575	461	244	901	862	831	471	372	0	0																		120.53	0.00	20.78	0.00	
	100340	S	12	5	9	18	18	52	12.76	12.89	0.55				659	768	940	595	1004	744	575	461	244	904	860	831	470	372	533	473																		120.45	0.00	20.68	0.00	
	100400	S	12	5	9	18	23	55	12.71	12.88	0.55				658	768	941	596	1006	744	576	462	75	81	47	51	48	52	48	52																		120.39	0.00	20.62	0.00	
	100460	S	12	5	9	18	29	1	12.74	12.89	0.55				657	768	937	593	1003	742	92	86	244	902	0	0	0	0	0	0																		120.29	0.00	20.53	0.00	
	100520	S	12	5	9	18	34	6	12.75	12.90	0.56				658	768	79	58	1005	742	88	76	79	81	50	52	85	80	48	52																		120.15	0.00	20.44	0.00	
	100580	S	12	5	9	18	39	11	12.72	12.85	0.57				657	768	69	54	1005	742	88	70	77	81	49	52	84	79	48	52																		120.06	0.00	20.34	0.00	
	100640	S	12	5	9	18	44	17	12.69	12.89	0.56				654	767	934	592	1003	738	93	81	76	76	78	70	80	74	46	49																		119.94	0.00	20.26	0.00	
	100700	S	12	5	9	18	49	23	12.74	12.86	0.56				655	766	69	55	1001	737	90	82	78	80	49	50	84	79	47	49																		119.86	0.00	20.18	0.00	
	100760	S	12	5	9	18	54	28	12.72	12.87	0.56				655	767	72	55	1001	738	91	71	75	75	77	69	78	72	66	64																		119.84	0.00	20.11	0.00	
	100820	S	12	5	9	18	59	34	12.71	12.85	0.57				654	767	80	55	1000	738	85	60	78	79	49	51	82	77	48	50																		119.75	0.00	20.04	0.00	
	100880	S	12	5	9	19	4	38	12.71	12.90	0.57				655	767	933	591	999	738	573	459	75	78	48	50	82	76	47	50																		119.70	0.00	19.98	0.00	
	100940	S	12	5	9	19	9	43	12.67	12.88	0.57				654	767	933	591	1002	738	572	459	244	904	858	826	470	372	530	471																		119.64	0.00	19.91	0.00	
	101000	S	12	5	9	19	14	46	12.72	12.84	0.57				654	767	935	592	999	736	571	459	74	75	48	50	80	74	47	49																		119.55	0.00	19.83	0.00	
	101060	S	12	5	9	19	19	49	12.68	12.84	0.57				654	766	70	54	1001	739	573	459	75	75	48	50	79	73	47	50																		119.48	0.00	19.76	0.00	
	101120	S	12	5	9	19	24	54	12.70	12.88	0.57				654	767	73	53	1000	738	85	63	75	76	48	50	80	74	48	49																		119.41	0.00	19.69	0.00	
	101180	S	12	5	9	19	30	0	12.70	12.83	0.57				652	765	75	56	998	735	87	63	75	75	48	49	79	73	46	49																		119.33	0.00	19.62	0.00	
	101240	S	12	5	9	19	35	5	12.71	12.79	0.57				650	764	72	54	998	734	85	59	74	72	76	66	76	70	46	48																		119.25	0.00	19.56	0.00	
	101300	S	12	5	9	19	40	11	12.75	12.82	0.57				650	765	73	55	1001	735	87	59	72	72	48	49	76	70	47	48																		119.17	0.00	19.50	0.00	
	101360	S	12	5	9	19	45	17	12.75	12.84	0.57				651	766	69	54	999	733	89	60	72	72	48	49	77	70	47	48																		119.12	0.00	19.41	0.00	
	101419	S	12	5	9	19	50	21	12.71	12.87	0.57				650	764	73	54	1000	734	76	58	70	70	47	49	75	69	47	48																		119.01	0.00	19.34	0.00	
	101478	S	12	5	9	19	55	23	12.67	12.83	0.57				650	764	929	588	993	734	89	65	71	71	48	49	75	69	47	48																		118.93	0.00	19.29	0.00	
	101537	S	12	5	9	20	0	27	12.71	12.83	0.57				651	766	73	55	995	735	75	57	71	70	47	49	75	68	46	48																		-4.34	0.00	19.22	0.00	
	101596	S	12	5	9	20	5	29	12.69	12.85	0.58				651	763	74	57	998	734	78	58	70	69	47	49	75	68	47	48																		-4.42	0.00	19.15	0.00	
	101656	S	12	5	9	20	10	34	12.70	12.81	0.58				650	764	63	54	996	734	569	456	71	71	74	65	75	69	62	60																		-4.48	0.00	19.08	0.00	
	101716	S	12	5	9	20	15	39	12.69	12.82	0.58				651	764	80	55	996	734	79	57	73	71	48	49	75	68	46	48																		-4.54	0.00	19.03	0.00	
	101775	S	12	5	9	20	20	42	12.70	12.87	0.59				649	764	931	587	997	733	568	456	244	903	855	826	39	41	46	54																		-4.61	0.00	18.96	0.00	
	101835	S	12	5	9	20	25	47	12.69	3.64	0.59				650	765	930	588	995	733	88	62	74	72	47	49	77	70	47	48																		-4.67	0.00	18.91	0.00	
	101895	S	12	5	9	20	30	53	12.68	1.53	0.60				650	764	81	55	998	734	85	61	72	72	47	48	78	71	46	47																		-4.75	0.00	18.85	0.00	
	101954	S	12	5	9	20	35	57	12.66	0.25	0.60				650	766	69	54	992	734	70	56	71	73	47	48	77	71	46	47																		-4.86	0.00	18.80	0.00	
	102014	S	12	5	9	20	41	1	12.66	0.15	0.60				651	767	929	590	998	732	569	457	72	73	46	47	77	71	45	47																		-4.94	0.00	18.74	0.00	
	102073	S	12	5	9	20	46	3	12.64	0.05	0.61				649	763	74	56	994	731	88	62	72	73	46	47	78	71	45	47																		122.96	0.00	18.68	0.00	
	102132	S	12	5	9	20	51	3	12.66	0.08	0.61				649	765	72	54	995	734	84	59	77	74	46	47	79	72	45	46																		122.91	0.00	18.63	0.00	
	102192	S	12	5	9	20	56	8	12.66	0.03	0.61				649	764	72	55	998	731	80	60	73	74	46	47	79	72	45	46																		122.86	0.00	18.56	0.00	
	102252	S	12	5	9	21	1	14	12.65	0.05	0.62				648	765	74	54	993	733	83	60	75	76	47	48	81	75	46	48																		122.81	0.00	18.51	0.00	
	102312	S	12	5	9	21	6	20	12.66	0.05	0.62				650	763	68	53	996	734	88	59	75	75	46	48	80	73	44	46																		122.74	0.00	18.46	0.00	
	102372	S	12	5	9	21	11	26	12.63	0.04	0.62				649	763	79	55	991	732	90	61	75	76	46	47	82	75	44	46																		122.67	0.00	18.40	0.00	
	102432	S	12	5	9	21	16	32	12.64	0.03	0.62				649	90	45	43	994	85	58	52	47	906	0	0	0	372	0	0																		122.60	0.00	18.33	0.00	
